word,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,cmv_concrete,cmv_valence,cmv_arousal,cmv_dominance
address,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,6.11,3.05,4.89
addressee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,5.063900388098289,4.21066551674573,5.184823199655046
addresses,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
adept,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.23,6.14,4.17,6.5
adequacy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.86,5.063900388098289,4.21066551674573,5.184823199655046
adequate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,4.7,3.64,6.89
adhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,5.17,3.52,3.9
adherence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.063900388098289,4.21066551674573,5.184823199655046
adherent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,5.063900388098289,4.21066551674573,5.184823199655046
adhering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
adhesion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,5.063900388098289,4.21066551674573,5.184823199655046
adhesive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,5.84,3.2,4.88
adieu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
adipose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
adjacency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
adjacent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,5.15,2.78,4.27
adjective,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,5.95,3.64,6.11
adjoining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,5.06,3.52,4.65
adjourn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,5.5,3.15,5.75
adjournment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82,5.063900388098289,4.21066551674573,5.184823199655046
adjudicate,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.12,5.063900388098289,4.21066551674573,5.184823199655046
adjudication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,5.063900388098289,4.21066551674573,5.184823199655046
adjunct,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.19,5.063900388098289,4.21066551674573,5.184823199655046
adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,5.76,3.0,6.0
adjustment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,5.53,4.59,4.53
adjuvant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0362981503266133,5.063900388098289,4.21066551674573,5.184823199655046
administer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,4.4,3.86,6.33
administration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,4.45,3.23,4.77
administrative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.14,4.79,3.21,5.9
admirable,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.81,7.0,4.57,5.81
